Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Orlando Magic*,82,240.6,38.1,81.5,.468,11.4,31.4,.365,26.7,50.1,.532,17.9,23.4,.766,9.2,33.0,42.1,22.8,7.7,4.4,16.2,20.3,105.5
2,Boston Celtics*,82,241.8,40.3,89.4,.450,12.9,37.1,.347,27.4,52.3,.524,13.8,17.7,.777,10.7,33.0,43.7,24.0,6.9,3.6,12.8,17.5,107.2
3,Oklahoma City Thunder*,82,240.3,37.9,87.0,.436,13.5,39.3,.342,24.5,47.6,.513,18.3,23.7,.774,11.6,33.3,44.9,24.6,6.7,4.8,17.0,18.1,107.6
4,Los Angeles Clippers*,82,241.5,39.5,85.8,.461,13.0,37.0,.350,26.5,48.7,.545,16.2,21.0,.772,9.7,31.8,41.5,25.7,8.8,4.3,15.0,17.8,108.2
5,Minnesota Timberwolves*,82,241.8,40.5,88.0,.460,12.7,36.0,.353,27.8,52.0,.534,15.7,20.4,.767,11.0,31.8,42.9,24.8,8.4,4.5,14.7,19.2,109.3
6,Houston Rockets*,82,241.2,40.5,88.3,.459,12.3,34.5,.357,28.2,53.8,.524,16.4,21.7,.759,10.6,31.6,42.1,23.5,7.9,5.7,14.3,19.2,109.8
7,Miami Heat*,82,243.0,41.3,88.6,.466,13.6,37.9,.360,27.6,50.6,.545,13.9,17.9,.776,10.7,33.9,44.7,26.5,7.5,4.7,13.8,17.0,110.0
8,Golden State Warriors*,82,240.6,40.4,86.9,.465,13.2,36.3,.363,27.3,50.6,.539,16.4,21.4,.769,10.6,33.5,44.1,25.9,7.6,5.4,15.7,18.6,110.5
9,New York Knicks*,82,242.4,41.6,87.7,.474,13.1,35.7,.367,28.5,52.0,.548,15.4,19.5,.789,10.9,31.0,41.8,25.2,7.0,5.0,14.5,19.0,111.7
10,Brooklyn Nets,82,241.2,40.5,84.3,.480,12.9,35.7,.362,27.5,48.5,.567,18.4,23.6,.779,10.1,33.6,43.7,27.1,8.0,5.6,15.0,18.9,112.2
11,Los Angeles Lakers*,82,240.6,41.4,89.3,.463,13.6,38.1,.356,27.8,51.2,.544,15.9,20.5,.775,11.2,31.8,43.0,27.3,8.2,4.2,13.7,19.2,112.2
12,Cleveland Cavaliers*,82,240.9,41.2,90.9,.454,13.5,37.5,.359,27.8,53.4,.520,16.5,21.1,.779,11.5,32.0,43.5,25.6,7.8,4.4,14.5,18.9,112.4
13,Milwaukee Bucks*,82,240.9,41.6,91.1,.457,13.9,39.4,.353,27.7,51.7,.536,15.9,20.3,.783,11.0,34.3,45.3,26.4,7.3,3.8,12.9,18.9,113.0
14,Detroit Pistons*,82,241.5,40.6,87.9,.461,13.6,37.2,.366,26.9,50.7,.531,18.8,24.3,.776,10.5,31.9,42.5,24.8,8.9,5.0,15.1,18.9,113.6
15,Portland Trail Blazers,82,241.2,41.6,88.3,.471,12.7,35.2,.361,28.9,53.1,.544,18.0,22.5,.799,11.9,32.3,44.2,26.2,9.5,5.5,15.5,19.3,113.9
16,Charlotte Hornets,82,240.9,41.6,88.9,.467,14.2,40.0,.355,27.4,49.0,.559,16.9,21.4,.790,11.3,33.9,45.2,26.8,8.8,5.3,13.3,18.1,114.2
17,Indiana Pacers*,82,242.1,42.6,89.9,.474,12.9,36.3,.355,29.7,53.6,.554,17.0,22.0,.773,11.2,33.8,45.0,26.0,7.2,4.5,15.0,18.8,115.1
18,Toronto Raptors,82,241.5,41.2,88.3,.466,13.2,37.7,.349,28.0,50.6,.554,19.6,25.2,.778,11.5,33.5,45.0,25.9,9.2,5.9,15.1,18.1,115.2
19,Sacramento Kings*,82,242.4,41.6,87.8,.474,14.5,38.2,.381,27.0,49.6,.545,17.6,22.4,.783,10.0,32.4,42.3,27.0,7.9,4.3,13.9,18.5,115.3
20,Dallas Mavericks*,82,240.6,43.1,91.7,.469,12.9,35.4,.363,30.2,56.3,.537,16.4,21.1,.779,12.1,33.2,45.3,27.1,8.1,4.6,13.2,18.7,115.4
21,Philadelphia 76ers,82,241.5,42.4,86.8,.488,14.2,37.6,.378,28.1,49.2,.572,16.9,21.2,.794,11.5,34.0,45.5,28.3,7.4,5.1,16.0,18.7,115.8
22,Phoenix Suns,82,241.8,42.6,90.1,.473,14.2,38.4,.370,28.4,51.7,.549,17.2,21.8,.790,11.5,32.7,44.2,27.3,8.5,4.0,12.2,18.4,116.6
23,San Antonio Spurs,82,240.6,43.8,92.5,.474,14.4,39.3,.365,29.5,53.2,.554,14.6,18.5,.790,12.1,34.1,46.2,28.0,8.1,4.3,13.7,17.4,116.7
24,Memphis Grizzlies*,82,240.3,41.9,91.8,.456,14.2,39.4,.360,27.7,52.4,.529,18.9,24.5,.770,11.5,32.0,43.5,27.0,8.7,5.5,15.1,20.2,116.9
25,Denver Nuggets*,82,242.1,43.3,93.0,.466,14.1,38.7,.365,29.2,54.4,.538,16.1,20.7,.777,11.7,30.7,42.5,29.0,8.7,5.1,13.0,19.0,116.9
26,New Orleans Pelicans,82,240.9,43.7,90.5,.483,14.6,40.1,.365,29.1,50.4,.578,17.2,21.9,.786,11.9,33.9,45.7,28.6,9.0,5.2,14.0,17.9,119.3
27,Atlanta Hawks*,82,241.2,43.4,90.2,.481,14.3,37.8,.377,29.2,52.4,.557,18.2,22.7,.802,10.3,33.4,43.7,28.2,9.2,4.9,16.0,19.1,119.3
28,Chicago Bulls*,82,240.9,44.4,95.0,.467,13.6,39.6,.344,30.8,55.4,.556,16.9,21.5,.786,11.0,35.1,46.1,28.9,8.1,5.1,12.6,16.8,119.4
29,Washington Wizards,82,240.6,43.7,92.8,.471,14.3,39.2,.364,29.4,53.6,.549,18.8,23.7,.793,12.9,36.0,48.9,28.5,9.1,5.2,13.3,18.2,120.4
30,Utah Jazz,82,241.5,44.6,93.0,.480,14.9,41.5,.358,29.7,51.5,.577,17.2,22.6,.763,11.7,32.6,44.2,29.6,9.8,6.4,11.8,19.3,121.2
,League Average,82,241.3,41.7,89.2,.467,13.5,37.6,.360,28.2,51.7,.545,16.9,21.7,.780,11.1,33.0,44.1,26.5,8.2,4.9,14.3,18.6,113.8
